Membership No  Date Joined  Active  
    28744      2018-2-5     no    
    17351      2018-7-5     no    
    50378      2017-5-22    no    
    38466      2018-10-21   no    
    98121      2019-1-23    no    
    27208      2020-6-24    no    
    77289      2019-11-14   no    
    82670      2017-3-17    no    
    57929      2019-10-7    no    
    90874      2015-7-22    no    
    60840      2018-10-6    no    
    30429      2020-3-23    no    
    93114      2018-1-22    no    
    54316      2020-5-21    no    
